id_empresa,nome_empresa,setor,porte
1,CyberDynamics,TI,Médio
2,InfoByte,TI,Pequeno
3,NextWave,TI,Grande
4,SoftLabs,TI,Médio
5,DataLink,TI,Pequeno
6,TechFusion,TI,Grande
7,QuantumCode,TI,Médio
8,BlueSphere,TI,Pequeno
9,CloudBridge,TI,Grande
10,InnovaMind,TI,Médio
11,AlphaLabs,TI,Pequeno
12,SkySoft,TI,Grande
13,PixelBridge,TI,Médio
14,SoftCore,TI,Pequeno
15,NeoData,TI,Grande
16,CodeSphere,TI,Médio
17,TechNovaPro,TI,Pequeno
18,DataMind,TI,Grande
19,CloudWorks,TI,Médio
20,InnovaCode,TI,Pequeno
21,AlphaSoft,TI,Grande
22,CyberBridge,TI,Médio
23,SoftWave,TI,Pequeno
24,NextTech,TI,Grande
25,InfoSphere,TI,Médio
26,TechByte,TI,Pequeno
27,PixelNova,TI,Grande
28,DataSphere,TI,Médio
29,NeoCore,TI,Pequeno
30,CodeNova,TI,Grande
31,CloudMind,TI,Médio
32,InnovaWave,TI,Pequeno
33,SkyCore,TI,Grande
34,SoftMind,TI,Médio
35,TechBridgePro,TI,Pequeno
36,AlphaWave,TI,Grande
37,DataLabs,TI,Médio
38,BlueCore,TI,Pequeno
39,NextBridge,TI,Grande
40,CyberNova,TI,Médio
41,SoftDynamics,TI,Pequeno
42,PixelLabs,TI,Grande
43,CloudByte,TI,Médio
44,InnovaSphere,TI,Pequeno
45,NeoWave,TI,Grande
46,TechLabs,TI,Médio
47,DataBridge,TI,Pequeno
48,SkyNova,TI,Grande
49,AlphaMind,TI,Médio
50,CodeBridge,TI,Pequeno
