id_vaga,titulo_vaga,id_empresa,id_funcao,id_localizacao,id_modalidade,nivel_experiencia,tipo_contrato,salario,data_postagem
1,Analista de Dados Jr,1,1,1,2,Básico,CLT,3400.00,2025-09-01
2,Desenvolvedor Backend Pl,4,4,2,1,Intermediário,CLT,7200.00,2025-09-02
3,Cientista de Dados Sr,2,2,16,2,Avançado,PJ,12500.00,2025-09-03
4,UX/UI Designer Jr,7,10,5,1,Básico,Estágio,3000.00,2025-09-04
5,DevOps Pl,9,9,8,2,Intermediário,CLT,9100.00,2025-09-05
6,Engenheiro de Software Sr,5,7,3,1,Avançado,CLT,11800.00,2025-09-06
7,Desenvolvedor Frontend Jr,6,5,4,2,Básico,Estágio,3200.00,2025-09-07
8,Engenheiro de Dados Pl,8,3,18,1,Intermediário,CLT,8400.00,2025-09-08
9,Administrador de Banco de Dados Sr,3,8,14,2,Avançado,PJ,10800.00,2025-09-09
10,Desenvolvedor Full Stack Pl,4,6,6,1,Intermediário,CLT,7600.00,2025-09-10
11,Analista de Dados Pl,5,1,11,1,Intermediário,CLT,6700.00,2025-09-11
12,DevOps Sr,6,9,20,2,Avançado,CLT,11500.00,2025-09-12
13,Desenvolvedor Backend Jr,2,4,10,1,Básico,CLT,4100.00,2025-09-13
14,Cientista de Dados Pl,9,2,17,2,Intermediário,PJ,7700.00,2025-09-14
15,Engenheiro de Software Pl,10,7,7,1,Intermediário,CLT,8300.00,2025-09-15
16,UX/UI Designer Pl,8,10,23,2,Intermediário,CLT,6900.00,2025-09-16
17,Desenvolvedor Frontend Pl,7,5,5,1,Intermediário,CLT,6100.00,2025-09-17
18,Analista de Dados Sr,3,1,16,2,Avançado,CLT,9800.00,2025-09-18
19,Engenheiro de Dados Sr,4,3,19,1,Avançado,PJ,13200.00,2025-09-19
20,DevOps Jr,11,9,21,1,Básico,CLT,4300.00,2025-09-20
21,Desenvolvedor Backend Sr,5,4,8,2,Avançado,CLT,10800.00,2025-09-21
22,Desenvolvedor Full Stack Sr,6,6,12,2,Avançado,CLT,11100.00,2025-09-22
23,Administrador de Banco de Dados Pl,7,8,15,1,Intermediário,CLT,8600.00,2025-09-23
24,Engenheiro de Software Jr,9,7,3,2,Básico,CLT,4800.00,2025-09-24
25,Cientista de Dados Jr,10,2,18,1,Básico,CLT,4500.00,2025-09-25
26,Desenvolvedor Frontend Sr,4,5,6,2,Avançado,PJ,9000.00,2025-09-26
27,Analista de Dados Jr,6,1,9,1,Básico,CLT,3600.00,2025-09-27
28,Engenheiro de Dados Jr,8,3,20,2,Básico,CLT,5200.00,2025-09-28
29,DevOps Pl,2,9,22,1,Intermediário,CLT,9100.00,2025-09-29
30,UX/UI Designer Jr,3,10,21,1,Básico,Estágio,3100.00,2025-09-30
31,Desenvolvedor Backend Pl,7,4,7,2,Intermediário,CLT,7100.00,2025-10-01
32,Engenheiro de Software Sr,5,7,2,1,Avançado,CLT,12200.00,2025-10-02
33,Analista de Dados Pl,1,1,1,2,Intermediário,CLT,6600.00,2025-10-03
34,Desenvolvedor Full Stack Jr,6,6,6,1,Básico,CLT,4400.00,2025-10-04
35,Cientista de Dados Sr,8,2,16,2,Avançado,PJ,12900.00,2025-10-05
36,DevOps Sr,9,9,17,1,Avançado,CLT,11800.00,2025-10-06
37,Desenvolvedor Frontend Jr,3,5,4,2,Básico,Estágio,3200.00,2025-10-07
38,Administrador de Banco de Dados Sr,2,8,14,2,Avançado,CLT,10200.00,2025-10-08
39,Engenheiro de Dados Pl,10,3,18,1,Intermediário,CLT,8800.00,2025-10-09
40,UX/UI Designer Pl,7,10,23,2,Intermediário,CLT,7000.00,2025-10-10
41,Desenvolvedor Backend Jr,4,4,10,1,Básico,CLT,4200.00,2025-10-11
42,Analista de Dados Sr,5,1,11,2,Avançado,CLT,9600.00,2025-10-12
43,Cientista de Dados Pl,6,2,19,1,Intermediário,CLT,7600.00,2025-10-13
44,DevOps Jr,8,9,20,2,Básico,CLT,4300.00,2025-10-14
45,Engenheiro de Software Pl,9,7,3,1,Intermediário,CLT,8200.00,2025-10-15
46,Desenvolvedor Frontend Pl,10,5,5,2,Intermediário,CLT,6200.00,2025-10-16
47,Administrador de Banco de Dados Pl,1,8,15,1,Intermediário,CLT,8500.00,2025-10-17
48,Engenheiro de Dados Sr,2,3,18,2,Avançado,CLT,13100.00,2025-10-18
49,Desenvolvedor Full Stack Pl,3,6,12,1,Intermediário,CLT,7700.00,2025-10-19
50,UX/UI Designer Jr,4,10,22,2,Básico,Estágio,3000.00,2025-10-20
51,Analista de Dados Jr,5,1,1,1,Básico,CLT,3500.00,2025-10-21
52,DevOps Sr,6,9,21,2,Avançado,PJ,12000.00,2025-10-22
53,Desenvolvedor Backend Sr,7,4,8,1,Avançado,CLT,10900.00,2025-10-23
54,Cientista de Dados Sr,8,2,17,2,Avançado,PJ,13000.00,2025-10-24
55,Engenheiro de Software Jr,9,7,2,1,Básico,CLT,4900.00,2025-10-25
56,Administrador de Banco de Dados Jr,10,8,14,2,Básico,CLT,4700.00,2025-10-26
57,Desenvolvedor Frontend Sr,2,5,6,1,Avançado,CLT,8900.00,2025-10-27
58,Engenheiro de Dados Jr,3,3,19,2,Básico,CLT,5200.00,2025-10-28
59,Analista de Dados Pl,4,1,9,1,Intermediário,CLT,6800.00,2025-10-29
60,UX/UI Designer Pl,5,10,23,2,Intermediário,CLT,7100.00,2025-10-30
61,DevOps Pl,6,9,20,1,Intermediário,CLT,9000.00,2025-10-31
62,Desenvolvedor Full Stack Sr,7,6,12,2,Avançado,PJ,11300.00,2025-11-01
63,Engenheiro de Software Sr,8,7,3,1,Avançado,CLT,12100.00,2025-11-02
64,Cientista de Dados Jr,9,2,16,2,Básico,CLT,4600.00,2025-11-03
65,Administrador de Banco de Dados Sr,1,8,15,1,Avançado,CLT,10300.00,2025-11-04
66,Desenvolvedor Backend Pl,2,4,7,2,Intermediário,CLT,7300.00,2025-11-05
67,Engenheiro de Dados Pl,3,3,18,1,Intermediário,CLT,8700.00,2025-11-06
68,Analista de Dados Sr,4,1,11,2,Avançado,PJ,9700.00,2025-11-07
69,UX/UI Designer Jr,5,10,21,1,Básico,Estágio,3100.00,2025-11-08
70,DevOps Sr,6,9,22,2,Avançado,CLT,11900.00,2025-11-09
71,Desenvolvedor Frontend Jr,7,5,4,1,Básico,Estágio,3300.00,2025-11-10
72,Engenheiro de Software Pl,8,7,2,2,Intermediário,CLT,8400.00,2025-11-11
73,Cientista de Dados Pl,9,2,17,1,Intermediário,CLT,7800.00,2025-11-12
74,Administrador de Banco de Dados Pl,10,8,14,2,Intermediário,CLT,8600.00,2025-11-13
75,Desenvolvedor Backend Jr,1,4,10,1,Básico,CLT,4000.00,2025-11-14
76,Engenheiro de Dados Sr,2,3,19,2,Avançado,PJ,13400.00,2025-11-15
77,Analista de Dados Pl,3,1,1,1,Intermediário,CLT,6900.00,2025-11-16
78,DevOps Jr,4,9,21,2,Básico,CLT,4200.00,2025-11-17
79,Desenvolvedor Full Stack Pl,5,6,13,1,Intermediário,CLT,7600.00,2025-11-18
80,UX/UI Designer Sr,6,10,23,2,Avançado,PJ,9300.00,2025-11-19
81,Analista de Dados Jr,8,1,3,2,Básico,CLT,3800.00,2025-10-05
82,Engenheiro de Software Sr,12,7,1,2,Avançado,PJ,12500.00,2025-10-06
83,Desenvolvedor Frontend Pl,5,5,7,1,Intermediário,CLT,6200.00,2025-10-07
84,Cientista de Dados Jr,9,2,4,2,Básico,CLT,4600.00,2025-10-08
85,DevOps Engineer Pl,14,9,2,2,Intermediário,CLT,9100.00,2025-10-09
86,Engenheiro de Dados Sr,18,3,6,2,Avançado,PJ,13200.00,2025-10-10
87,Desenvolvedor Backend Jr,2,4,9,1,Básico,CLT,4200.00,2025-10-11
88,UX/UI Designer Jr,20,10,3,1,Básico,CLT,3500.00,2025-10-12
89,Administrador de Banco de Dados Pl,17,8,8,2,Intermediário,CLT,8700.00,2025-10-13
90,Desenvolvedor Full Stack Pl,6,6,5,2,Intermediário,CLT,7600.00,2025-10-14
91,Analista de Dados Sr,3,1,1,2,Avançado,CLT,9800.00,2025-10-15
92,Cientista de Dados Pl,10,2,4,2,Intermediário,CLT,7500.00,2025-10-16
93,Engenheiro de Dados Jr,15,3,6,1,Básico,CLT,5200.00,2025-10-17
94,Desenvolvedor Backend Sr,7,4,2,2,Avançado,PJ,11000.00,2025-10-18
95,Desenvolvedor Frontend Jr,13,5,9,1,Básico,CLT,4000.00,2025-10-19
96,Engenheiro de Software Pl,4,7,3,2,Intermediário,CLT,8800.00,2025-10-20
97,DevOps Engineer Sr,11,9,7,2,Avançado,PJ,12000.00,2025-10-21
98,Administrador de Banco de Dados Jr,19,8,5,1,Básico,CLT,4800.00,2025-10-22
99,Desenvolvedor Full Stack Sr,1,6,8,2,Avançado,CLT,11500.00,2025-10-23
100,UX/UI Designer Pl,16,10,4,2,Intermediário,CLT,5400.00,2025-10-24
