id_vaga,id_habilidade,id_nivel
1,1,3
1,14,3
1,17,2
2,2,2
2,9,2
2,10,2
3,1,1
3,5,1
3,14,1
4,18,3
4,19,3
5,11,2
5,12,2
5,9,2
6,2,1
6,9,1
6,10,1
7,3,3
7,9,3
7,4,2
8,1,2
8,14,2
8,11,2
9,14,1
9,11,1
10,2,2
10,3,2
10,9,2
11,1,2
11,14,2
11,15,2
12,11,1
12,12,1
12,9,1
13,2,3
13,9,3
13,10,3
14,1,2
14,5,2
14,6,2
15,2,2
15,9,2
15,10,2
16,18,2
16,19,2
17,3,2
17,9,2
17,4,2
18,1,1
18,14,1
18,17,1
19,1,1
19,14,1
19,11,1
20,11,3
20,12,3
20,9,3
21,2,1
21,9,1
21,10,1
22,2,1
22,3,1
22,9,1
23,14,2
23,11,2
24,2,3
24,9,3
24,10,3
25,1,3
25,5,3
25,14,3
26,3,1
26,9,1
26,4,1
27,1,3
27,14,3
27,17,3
28,1,3
28,14,3
28,11,3
29,11,2
29,12,2
29,9,2
30,18,3
30,19,3
31,2,2
31,9,2
31,10,2
32,2,1
32,9,1
32,10,1
33,1,2
33,14,2
33,17,2
34,2,3
34,3,3
34,9,3
35,1,1
35,5,1
35,14,1
36,11,1
36,12,1
36,9,1
37,3,3
37,9,3
37,4,3
38,14,1
38,11,1
39,1,2
39,14,2
39,11,2
40,18,2
40,19,2
41,2,3
41,9,3
41,10,3
42,1,1
42,14,1
42,17,1
43,1,2
43,5,2
43,14,2
44,11,3
44,12,3
44,9,3
45,2,2
45,9,2
45,10,2
46,3,2
46,9,2
46,4,2
47,14,2
47,11,2
48,1,1
48,14,1
48,11,1
49,2,2
49,3,2
49,9,2
50,18,3
50,19,3
51,1,3
51,14,3
51,15,3
52,11,1
52,12,1
52,9,1
53,2,1
53,9,1
53,10,1
54,1,1
54,5,1
54,14,1
55,2,3
55,9,3
55,10,3
56,14,3
56,11,3
57,3,1
57,9,1
57,4,1
58,1,3
58,14,3
58,11,3
59,1,2
59,14,2
59,17,2
60,18,2
60,19,2
61,11,2
61,12,2
61,9,2
62,2,1
62,3,1
62,9,1
63,2,1
63,9,1
63,10,1
64,1,3
64,5,3
64,14,3
65,14,1
65,11,1
66,2,2
66,3,2
66,9,2
67,1,2
67,14,2
67,11,2
68,1,1
68,5,1
68,14,1
69,18,3
69,19,3
70,11,1
70,12,1
70,9,1
71,3,3
71,9,3
71,4,3
72,2,2
72,9,2
72,10,2
73,1,2
73,5,2
73,14,2
74,14,2
74,11,2
75,2,3
75,9,3
75,10,3
76,1,1
76,14,1
76,11,1
77,1,2
77,14,2
77,17,2
78,11,3
78,12,3
78,9,3
79,2,2
79,3,2
79,9,2
80,18,1
80,19,1
81,1,3
81,14,3
81,15,3
82,2,1
82,9,1
82,10,1
83,3,2
83,9,2
83,4,2
84,1,3
84,5,3
84,14,3
85,11,2
85,12,2
85,9,2
86,1,3
86,14,3
86,11,3
87,2,1
87,9,1
87,10,1
88,18,2
88,19,2
89,14,2
89,11,2
90,2,2
90,3,2
90,9,2
91,1,1
91,14,1
91,17,1
92,1,2
92,5,2
92,6,2
93,1,3
93,14,3
93,11,3
94,2,1
94,9,1
94,10,1
95,3,2
95,9,2
95,4,2
96,2,2
96,9,2
96,10,2
97,11,3
97,12,3
97,9,3
98,14,1
98,11,1
99,2,2
99,3,2
99,9,2
100,18,2
100,19,2
